statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;0;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;19303;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;411;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1001;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;612;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;10074;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;200;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;20;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;7;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;3677;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;113;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;1606;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;07;Rheinland-Pfalz;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;435;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;33;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;13;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1404;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;2;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1352;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;419;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;388;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;10555;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;58;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;1744;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;509;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;444;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;10567;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1148;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;19;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;420;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;97;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;19812;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;1283;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;4495;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;19;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
